CSVData,        mpi, 12, 1024, max_level, 7, grids, 2857, Total, 4.19535, Computation, 3.05557, Regrid, 0.707975, Compare Analytics, 0.00212872, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 7, grids, 2857, Total, 4.98274, Computation, 3.77003, Regrid, 0.42839, Compare Analytics, 0.00213498, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 7, grids, 2857, Total, 6.33281, Computation, 3.58314, Regrid, 1.0002, Compare Analytics, 0.00223326, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 7, grids, 2857, Total, 9.04693, Computation, 6.97653, Regrid, 1.87118, Compare Analytics, 0.00168912, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 7, grids, 2857, Total, 4.69316, Computation, 2.95725, Regrid, 0.638355, Compare Analytics, 0.00218985, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 7, grids, 2857, Total, 5.94719, Computation, 5.16143, Regrid, 0.339866, Compare Analytics, 0.00173208, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 7, grids, 2857, Total, 4.27671, Computation, 2.73288, Regrid, 0.736714, Compare Analytics, 0.00193044, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 7, grids, 2857, Total, 3.8419, Computation, 2.69864, Regrid, 0.391799, Compare Analytics, 0.00211129, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 7, grids, 2857, Total, 4.17133, Computation, 2.70015, Regrid, 0.52485, Compare Analytics, 0.00188713, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 7, grids, 2857, Total, 5.99118, Computation, 5.02459, Regrid, 0.810933, Compare Analytics, 0.00137566, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 7, grids, 2857, Total, 4.51481, Computation, 2.65281, Regrid, 0.682918, Compare Analytics, 0.00187673, Find Localities, 0, coalesce, 0
